role_id,member_id,related_member_id,relationship_type,evidence_status
cityrole-0058,m02,m01,partner,experimental_family_template
cityrole-0060,m02,m01,parent,experimental_family_template
cityrole-0060,m03,m01,parent,experimental_family_template
cityrole-0061,m01,m02,partner,experimental_family_template
cityrole-0061,m02,m01,partner,experimental_family_template
cityrole-0062,m02,m01,parent,experimental_family_template
cityrole-0062,m03,m01,parent,experimental_family_template
cityrole-0063,m01,m02,partner,experimental_family_template
cityrole-0063,m02,m01,partner,experimental_family_template
cityrole-0065,m01,m03,partner,experimental_family_template
cityrole-0065,m02,m01,parent,experimental_family_template
cityrole-0065,m03,m01,partner,experimental_family_template
cityrole-0065,m04,m01,parent,experimental_family_template
cityrole-0066,m02,m01,parent,experimental_family_template
cityrole-0066,m03,m01,parent,experimental_family_template
cityrole-0067,m02,m01,parent,experimental_family_template
cityrole-0067,m03,m01,parent,experimental_family_template
cityrole-0069,m01,m02,partner,experimental_family_template
cityrole-0069,m02,m01,partner,experimental_family_template
cityrole-0071,m02,m01,parent,experimental_family_template
cityrole-0071,m03,m01,parent,experimental_family_template
cityrole-0072,m01,m02,partner,experimental_family_template
cityrole-0072,m02,m01,partner,experimental_family_template
cityrole-0073,m02,m01,parent,experimental_family_template
cityrole-0073,m03,m01,parent,experimental_family_template
cityrole-0074,m02,m01,parent,experimental_family_template
cityrole-0074,m03,m01,parent,experimental_family_template
cityrole-0075,m02,m01,parent,experimental_family_template
cityrole-0075,m02,m05,partner,experimental_family_template
cityrole-0075,m03,m02,parent,experimental_family_template
cityrole-0075,m04,m02,parent,experimental_family_template
cityrole-0075,m05,m02,partner,experimental_family_template
cityrole-0077,m01,m02,partner,experimental_family_template
cityrole-0077,m02,m01,partner,experimental_family_template
cityrole-0078,m02,m01,parent,experimental_family_template
cityrole-0079,m02,m01,parent,experimental_family_template
cityrole-0079,m03,m02,parent,experimental_family_template
cityrole-0079,m04,m02,parent,experimental_family_template
cityrole-0082,m02,m01,parent,experimental_family_template
cityrole-0082,m03,m01,parent,experimental_family_template
cityrole-0083,m01,m02,partner,experimental_family_template
cityrole-0083,m02,m01,partner,experimental_family_template
cityrole-0084,m02,m01,parent,experimental_family_template
cityrole-0084,m03,m01,parent,experimental_family_template
cityrole-0085,m02,m01,parent,experimental_family_template
cityrole-0086,m02,m01,parent,experimental_family_template
cityrole-0086,m02,m04,partner,experimental_family_template
cityrole-0086,m03,m02,parent,experimental_family_template
cityrole-0086,m04,m02,partner,experimental_family_template
cityrole-0087,m01,m02,partner,experimental_family_template
cityrole-0087,m02,m01,partner,experimental_family_template
cityrole-0088,m01,m02,partner,experimental_family_template
cityrole-0088,m02,m01,partner,experimental_family_template
cityrole-0089,m02,m01,parent,experimental_family_template
cityrole-0091,m01,m03,partner,experimental_family_template
cityrole-0091,m02,m01,parent,experimental_family_template
cityrole-0091,m03,m01,partner,experimental_family_template
cityrole-0091,m04,m01,parent,experimental_family_template
cityrole-0092,m02,m01,parent,experimental_family_template
cityrole-0092,m03,m01,parent,experimental_family_template
cityrole-0094,m02,m01,parent,experimental_family_template
cityrole-0094,m03,m01,parent,experimental_family_template
cityrole-0095,m01,m02,partner,experimental_family_template
cityrole-0095,m02,m01,partner,experimental_family_template
cityrole-0097,m02,m01,parent,experimental_family_template
cityrole-0097,m03,m01,parent,experimental_family_template
cityrole-0098,m01,m02,partner,experimental_family_template
cityrole-0098,m02,m01,partner,experimental_family_template
cityrole-0099,m02,m01,parent,experimental_family_template
cityrole-0099,m03,m02,parent,experimental_family_template
cityrole-0099,m04,m02,parent,experimental_family_template
cityrole-0101,m02,m01,parent,experimental_family_template
cityrole-0101,m02,m05,partner,experimental_family_template
cityrole-0101,m03,m02,parent,experimental_family_template
cityrole-0101,m04,m02,parent,experimental_family_template
cityrole-0101,m05,m02,partner,experimental_family_template
cityrole-0103,m01,m02,partner,experimental_family_template
cityrole-0103,m02,m01,partner,experimental_family_template
cityrole-0104,m02,m01,parent,experimental_family_template
cityrole-0104,m02,m04,partner,experimental_family_template
cityrole-0104,m03,m02,parent,experimental_family_template
cityrole-0104,m04,m02,partner,experimental_family_template
cityrole-0104,m05,m02,parent,experimental_family_template
cityrole-0104,m06,m01,parent,experimental_family_template
cityrole-0104,m07,m02,parent,experimental_family_template
cityrole-0104,m08,m01,parent,experimental_family_template
cityrole-0105,m02,m01,parent,experimental_family_template
cityrole-0106,m02,m01,parent,experimental_family_template
cityrole-0106,m03,m01,parent,experimental_family_template
cityrole-0107,m01,m02,partner,experimental_family_template
cityrole-0107,m02,m01,partner,experimental_family_template
cityrole-0108,m02,m01,parent,experimental_family_template
cityrole-0108,m02,m04,partner,experimental_family_template
cityrole-0108,m03,m02,parent,experimental_family_template
cityrole-0108,m04,m02,partner,experimental_family_template
cityrole-0108,m05,m02,parent,experimental_family_template
cityrole-0109,m01,m03,partner,experimental_family_template
cityrole-0109,m02,m01,parent,experimental_family_template
cityrole-0109,m03,m01,partner,experimental_family_template
cityrole-0110,m02,m01,parent,experimental_family_template
cityrole-0111,m01,m03,partner,experimental_family_template
cityrole-0111,m02,m01,parent,experimental_family_template
cityrole-0111,m03,m01,partner,experimental_family_template
cityrole-0112,m02,m01,parent,experimental_family_template
cityrole-0112,m03,m01,parent,experimental_family_template
cityrole-0114,m02,m01,parent,experimental_family_template
cityrole-0114,m02,m04,partner,experimental_family_template
cityrole-0114,m03,m01,parent,experimental_family_template
cityrole-0114,m04,m02,partner,experimental_family_template
cityrole-0114,m05,m01,parent,experimental_family_template
cityrole-0115,m01,m02,partner,experimental_family_template
cityrole-0115,m02,m01,partner,experimental_family_template
cityrole-0116,m02,m01,parent,experimental_family_template
cityrole-0116,m02,m04,partner,experimental_family_template
cityrole-0116,m03,m01,parent,experimental_family_template
cityrole-0116,m04,m02,partner,experimental_family_template
cityrole-0117,m01,m02,partner,experimental_family_template
cityrole-0117,m02,m01,partner,experimental_family_template
cityrole-0119,m01,m02,partner,experimental_family_template
cityrole-0119,m02,m01,partner,experimental_family_template
cityrole-0120,m01,m02,partner,experimental_family_template
cityrole-0120,m02,m01,partner,experimental_family_template
cityrole-0121,m01,m02,partner,experimental_family_template
cityrole-0121,m02,m01,partner,experimental_family_template
cityrole-0122,m02,m01,parent,experimental_family_template
cityrole-0122,m03,m01,parent,experimental_family_template
cityrole-0124,m02,m01,parent,experimental_family_template
cityrole-0124,m02,m04,partner,experimental_family_template
cityrole-0124,m03,m02,parent,experimental_family_template
cityrole-0124,m04,m02,partner,experimental_family_template
cityrole-0125,m01,m03,partner,experimental_family_template
cityrole-0125,m02,m01,parent,experimental_family_template
cityrole-0125,m03,m01,partner,experimental_family_template
cityrole-0125,m04,m01,parent,experimental_family_template
cityrole-0127,m02,m01,parent,experimental_family_template
cityrole-0127,m02,m04,partner,experimental_family_template
cityrole-0127,m03,m01,parent,experimental_family_template
cityrole-0127,m04,m02,partner,experimental_family_template
cityrole-0129,m01,m02,partner,experimental_family_template
cityrole-0129,m02,m01,partner,experimental_family_template
cityrole-0132,m02,m01,parent,experimental_family_template
cityrole-0136,m01,m02,partner,experimental_family_template
cityrole-0136,m02,m01,partner,experimental_family_template
cityrole-0138,m01,m02,partner,experimental_family_template
cityrole-0138,m02,m01,partner,experimental_family_template
cityrole-0140,m02,m01,parent,experimental_family_template
cityrole-0140,m02,m04,partner,experimental_family_template
cityrole-0140,m03,m01,parent,experimental_family_template
cityrole-0140,m04,m02,partner,experimental_family_template
cityrole-0141,m01,m02,partner,experimental_family_template
cityrole-0141,m02,m01,partner,experimental_family_template
cityrole-0142,m02,m01,parent,experimental_family_template
cityrole-0142,m03,m01,parent,experimental_family_template
cityrole-0143,m02,m01,parent,experimental_family_template
cityrole-0144,m02,m01,parent,experimental_family_template
cityrole-0146,m01,m02,partner,experimental_family_template
cityrole-0146,m02,m01,partner,experimental_family_template
cityrole-0147,m01,m02,partner,experimental_family_template
cityrole-0147,m02,m01,partner,experimental_family_template
cityrole-0148,m01,m02,partner,experimental_family_template
cityrole-0148,m02,m01,partner,experimental_family_template
cityrole-0149,m01,m02,partner,experimental_family_template
cityrole-0149,m02,m01,partner,experimental_family_template
cityrole-0150,m01,m02,partner,experimental_family_template
cityrole-0150,m02,m01,partner,experimental_family_template
cityrole-0151,m01,m02,partner,experimental_family_template
cityrole-0151,m02,m01,partner,experimental_family_template
cityrole-0152,m02,m01,parent,experimental_family_template
cityrole-0152,m03,m01,parent,experimental_family_template
cityrole-0153,m01,m02,partner,experimental_family_template
cityrole-0153,m02,m01,partner,experimental_family_template
cityrole-0154,m02,m01,parent,experimental_family_template
cityrole-0154,m03,m01,parent,experimental_family_template
cityrole-0155,m01,m03,partner,experimental_family_template
cityrole-0155,m02,m01,parent,experimental_family_template
cityrole-0155,m03,m01,partner,experimental_family_template
cityrole-0157,m01,m03,partner,experimental_family_template
cityrole-0157,m02,m01,parent,experimental_family_template
cityrole-0157,m03,m01,partner,experimental_family_template
cityrole-0158,m02,m01,parent,experimental_family_template
cityrole-0158,m03,m01,parent,experimental_family_template
cityrole-0160,m02,m01,parent,experimental_family_template
cityrole-0160,m03,m01,parent,experimental_family_template
cityrole-0161,m01,m03,partner,experimental_family_template
cityrole-0161,m02,m01,parent,experimental_family_template
cityrole-0161,m03,m01,partner,experimental_family_template
cityrole-0164,m02,m01,parent,experimental_family_template
cityrole-0164,m03,m01,parent,experimental_family_template
cityrole-0165,m01,m02,partner,experimental_family_template
cityrole-0165,m02,m01,partner,experimental_family_template
cityrole-0167,m01,m03,partner,experimental_family_template
cityrole-0167,m02,m01,parent,experimental_family_template
cityrole-0167,m03,m01,partner,experimental_family_template
cityrole-0167,m04,m01,parent,experimental_family_template
cityrole-0168,m02,m01,parent,experimental_family_template
cityrole-0168,m02,m04,partner,experimental_family_template
cityrole-0168,m03,m02,parent,experimental_family_template
cityrole-0168,m04,m02,partner,experimental_family_template
cityrole-0170,m01,m02,partner,experimental_family_template
cityrole-0170,m02,m01,partner,experimental_family_template
cityrole-0172,m02,m01,parent,experimental_family_template
cityrole-0172,m02,m04,partner,experimental_family_template
cityrole-0172,m03,m02,parent,experimental_family_template
cityrole-0172,m04,m02,partner,experimental_family_template
cityrole-0172,m05,m02,parent,experimental_family_template
cityrole-0172,m06,m01,parent,experimental_family_template
cityrole-0172,m07,m02,parent,experimental_family_template
cityrole-0173,m02,m01,parent,experimental_family_template
cityrole-0173,m02,m04,partner,experimental_family_template
cityrole-0173,m03,m01,parent,experimental_family_template
cityrole-0173,m04,m02,partner,experimental_family_template
cityrole-0174,m02,m01,parent,experimental_family_template
cityrole-0176,m02,m01,parent,experimental_family_template
cityrole-0176,m02,m04,partner,experimental_family_template
cityrole-0176,m03,m01,parent,experimental_family_template
cityrole-0176,m04,m02,partner,experimental_family_template
cityrole-0177,m02,m01,parent,experimental_family_template
cityrole-0177,m02,m05,partner,experimental_family_template
cityrole-0177,m03,m02,parent,experimental_family_template
cityrole-0177,m04,m02,parent,experimental_family_template
cityrole-0177,m05,m02,partner,experimental_family_template
cityrole-0177,m06,m02,parent,experimental_family_template
cityrole-0178,m02,m01,parent,experimental_family_template
cityrole-0178,m02,m04,partner,experimental_family_template
cityrole-0178,m03,m01,parent,experimental_family_template
cityrole-0178,m04,m02,partner,experimental_family_template
cityrole-0179,m01,m03,partner,experimental_family_template
cityrole-0179,m02,m01,parent,experimental_family_template
cityrole-0179,m03,m01,partner,experimental_family_template
cityrole-0180,m02,m01,parent,experimental_family_template
cityrole-0180,m03,m01,parent,experimental_family_template
cityrole-0182,m01,m02,partner,experimental_family_template
cityrole-0182,m02,m01,partner,experimental_family_template
cityrole-0184,m02,m01,parent,experimental_family_template
cityrole-0184,m02,m04,partner,experimental_family_template
cityrole-0184,m03,m01,parent,experimental_family_template
cityrole-0184,m04,m02,partner,experimental_family_template
cityrole-0185,m02,m01,parent,experimental_family_template
cityrole-0185,m02,m05,partner,experimental_family_template
cityrole-0185,m03,m02,parent,experimental_family_template
cityrole-0185,m04,m02,parent,experimental_family_template
cityrole-0185,m05,m02,partner,experimental_family_template
cityrole-0187,m02,m01,parent,experimental_family_template
cityrole-0187,m02,m05,partner,experimental_family_template
cityrole-0187,m03,m02,parent,experimental_family_template
cityrole-0187,m04,m02,parent,experimental_family_template
cityrole-0187,m05,m02,partner,experimental_family_template
cityrole-0187,m06,m02,parent,experimental_family_template
cityrole-0188,m02,m01,parent,experimental_family_template
cityrole-0188,m02,m04,partner,experimental_family_template
cityrole-0188,m03,m01,parent,experimental_family_template
cityrole-0188,m04,m02,partner,experimental_family_template
cityrole-0189,m01,m03,partner,experimental_family_template
cityrole-0189,m02,m01,parent,experimental_family_template
cityrole-0189,m03,m01,partner,experimental_family_template
cityrole-0191,m01,m03,partner,experimental_family_template
cityrole-0191,m02,m01,parent,experimental_family_template
cityrole-0191,m03,m01,partner,experimental_family_template
cityrole-0193,m02,m01,parent,experimental_family_template
cityrole-0193,m03,m02,parent,experimental_family_template
cityrole-0193,m04,m02,parent,experimental_family_template
cityrole-0195,m02,m01,parent,experimental_family_template
cityrole-0195,m02,m04,partner,experimental_family_template
cityrole-0195,m03,m01,parent,experimental_family_template
cityrole-0195,m04,m02,partner,experimental_family_template
cityrole-0196,m02,m01,parent,experimental_family_template
cityrole-0196,m02,m04,partner,experimental_family_template
cityrole-0196,m03,m01,parent,experimental_family_template
cityrole-0196,m04,m02,partner,experimental_family_template
cityrole-0197,m01,m02,partner,experimental_family_template
cityrole-0197,m02,m01,partner,experimental_family_template
cityrole-0198,m02,m01,parent,experimental_family_template
cityrole-0198,m02,m04,partner,experimental_family_template
cityrole-0198,m03,m02,parent,experimental_family_template
cityrole-0198,m04,m02,partner,experimental_family_template
cityrole-0198,m05,m02,parent,experimental_family_template
cityrole-0199,m01,m03,partner,experimental_family_template
cityrole-0199,m02,m01,parent,experimental_family_template
cityrole-0199,m03,m01,partner,experimental_family_template
cityrole-0200,m02,m01,parent,experimental_family_template
cityrole-0200,m03,m01,parent,experimental_family_template
cityrole-0201,m01,m03,partner,experimental_family_template
cityrole-0201,m02,m01,parent,experimental_family_template
cityrole-0201,m03,m01,partner,experimental_family_template
cityrole-0202,m01,m02,partner,experimental_family_template
cityrole-0202,m02,m01,partner,experimental_family_template
cityrole-0203,m01,m03,partner,experimental_family_template
cityrole-0203,m02,m01,parent,experimental_family_template
cityrole-0203,m03,m01,partner,experimental_family_template
cityrole-0205,m01,m03,partner,experimental_family_template
cityrole-0205,m02,m01,parent,experimental_family_template
cityrole-0205,m03,m01,partner,experimental_family_template
cityrole-0206,m02,m01,parent,experimental_family_template
cityrole-0207,m01,m03,partner,experimental_family_template
cityrole-0207,m02,m01,parent,experimental_family_template
cityrole-0207,m03,m01,partner,experimental_family_template
cityrole-0208,m02,m01,parent,experimental_family_template
cityrole-0208,m02,m04,partner,experimental_family_template
cityrole-0208,m03,m02,parent,experimental_family_template
cityrole-0208,m04,m02,partner,experimental_family_template
cityrole-0209,m01,m03,partner,experimental_family_template
cityrole-0209,m02,m01,parent,experimental_family_template
cityrole-0209,m03,m01,partner,experimental_family_template
cityrole-0209,m04,m01,parent,experimental_family_template
cityrole-0210,m02,m01,parent,experimental_family_template
cityrole-0210,m03,m01,parent,experimental_family_template
cityrole-0211,m02,m01,parent,experimental_family_template
cityrole-0211,m03,m02,parent,experimental_family_template
cityrole-0211,m04,m02,parent,experimental_family_template
cityrole-0213,m02,m01,parent,experimental_family_template
cityrole-0213,m02,m05,partner,experimental_family_template
cityrole-0213,m03,m02,parent,experimental_family_template
cityrole-0213,m04,m02,parent,experimental_family_template
cityrole-0213,m05,m02,partner,experimental_family_template
cityrole-0214,m02,m01,parent,experimental_family_template
cityrole-0214,m03,m01,parent,experimental_family_template
cityrole-0215,m02,m01,parent,experimental_family_template
cityrole-0217,m01,m02,partner,experimental_family_template
cityrole-0217,m02,m01,partner,experimental_family_template
cityrole-0219,m02,m01,parent,experimental_family_template
cityrole-0219,m03,m01,parent,experimental_family_template
cityrole-0220,m02,m01,parent,experimental_family_template
cityrole-0220,m02,m04,partner,experimental_family_template
cityrole-0220,m03,m02,parent,experimental_family_template
cityrole-0220,m04,m02,partner,experimental_family_template
cityrole-0220,m05,m02,parent,experimental_family_template
cityrole-0221,m01,m03,partner,experimental_family_template
cityrole-0221,m02,m01,parent,experimental_family_template
cityrole-0221,m03,m01,partner,experimental_family_template
cityrole-0223,m02,m01,parent,experimental_family_template
cityrole-0223,m02,m04,partner,experimental_family_template
cityrole-0223,m03,m01,parent,experimental_family_template
cityrole-0223,m04,m02,partner,experimental_family_template
cityrole-0224,m02,m01,parent,experimental_family_template
cityrole-0224,m02,m04,partner,experimental_family_template
cityrole-0224,m03,m02,parent,experimental_family_template
cityrole-0224,m04,m02,partner,experimental_family_template
cityrole-0225,m01,m02,partner,experimental_family_template
cityrole-0225,m02,m01,partner,experimental_family_template
cityrole-0226,m02,m01,parent,experimental_family_template
cityrole-0227,m02,m01,parent,experimental_family_template
cityrole-0228,m02,m01,parent,experimental_family_template
cityrole-0228,m02,m04,partner,experimental_family_template
cityrole-0228,m03,m02,parent,experimental_family_template
cityrole-0228,m04,m02,partner,experimental_family_template
cityrole-0228,m05,m02,parent,experimental_family_template
cityrole-0228,m06,m01,parent,experimental_family_template
cityrole-0229,m01,m02,partner,experimental_family_template
cityrole-0229,m02,m01,partner,experimental_family_template
cityrole-0231,m01,m02,partner,experimental_family_template
cityrole-0231,m02,m01,partner,experimental_family_template
cityrole-0236,m01,m02,partner,experimental_family_template
cityrole-0236,m02,m01,partner,experimental_family_template
cityrole-0239,m01,m02,partner,experimental_family_template
cityrole-0239,m02,m01,partner,experimental_family_template
cityrole-0240,m02,m01,parent,experimental_family_template
cityrole-0240,m02,m04,partner,experimental_family_template
cityrole-0240,m03,m02,parent,experimental_family_template
cityrole-0240,m04,m02,partner,experimental_family_template
cityrole-0240,m05,m02,parent,experimental_family_template
cityrole-0240,m06,m01,parent,experimental_family_template
cityrole-0241,m02,m01,parent,experimental_family_template
cityrole-0241,m02,m05,partner,experimental_family_template
cityrole-0241,m03,m02,parent,experimental_family_template
cityrole-0241,m04,m02,parent,experimental_family_template
cityrole-0241,m05,m02,partner,experimental_family_template
cityrole-0242,m02,m01,parent,experimental_family_template
cityrole-0243,m01,m03,partner,experimental_family_template
cityrole-0243,m02,m01,parent,experimental_family_template
cityrole-0243,m03,m01,partner,experimental_family_template
cityrole-0245,m01,m02,partner,experimental_family_template
cityrole-0245,m02,m01,partner,experimental_family_template
cityrole-0247,m02,m01,parent,experimental_family_template
cityrole-0247,m02,m05,partner,experimental_family_template
cityrole-0247,m03,m02,parent,experimental_family_template
cityrole-0247,m04,m02,parent,experimental_family_template
cityrole-0247,m05,m02,partner,experimental_family_template
cityrole-0247,m06,m02,parent,experimental_family_template
cityrole-0249,m02,m01,parent,experimental_family_template
cityrole-0249,m03,m01,parent,experimental_family_template
cityrole-0251,m01,m02,partner,experimental_family_template
cityrole-0251,m02,m01,partner,experimental_family_template
cityrole-0252,m01,m02,partner,experimental_family_template
cityrole-0252,m02,m01,partner,experimental_family_template
cityrole-0253,m01,m02,partner,experimental_family_template
cityrole-0253,m02,m01,partner,experimental_family_template
cityrole-0254,m01,m02,partner,experimental_family_template
cityrole-0254,m02,m01,partner,experimental_family_template
cityrole-0255,m02,m01,parent,experimental_family_template
cityrole-0255,m03,m01,parent,experimental_family_template
cityrole-0256,m02,m01,parent,experimental_family_template
cityrole-0256,m03,m01,parent,experimental_family_template
cityrole-0257,m01,m02,partner,experimental_family_template
cityrole-0257,m02,m01,partner,experimental_family_template
cityrole-0258,m01,m02,partner,experimental_family_template
cityrole-0258,m02,m01,partner,experimental_family_template
cityrole-0259,m02,m01,parent,experimental_family_template
cityrole-0259,m03,m02,parent,experimental_family_template
cityrole-0259,m04,m02,parent,experimental_family_template
cityrole-0261,m02,m01,parent,experimental_family_template
cityrole-0261,m03,m01,parent,experimental_family_template
cityrole-0262,m02,m01,parent,experimental_family_template
cityrole-0262,m03,m01,parent,experimental_family_template
cityrole-0263,m01,m02,partner,experimental_family_template
cityrole-0263,m02,m01,partner,experimental_family_template
cityrole-0265,m01,m02,partner,experimental_family_template
cityrole-0265,m02,m01,partner,experimental_family_template
cityrole-0266,m02,m01,parent,experimental_family_template
cityrole-0266,m03,m01,parent,experimental_family_template
cityrole-0267,m02,m01,parent,experimental_family_template
cityrole-0267,m03,m01,parent,experimental_family_template
cityrole-0268,m02,m01,parent,experimental_family_template
cityrole-0268,m03,m01,parent,experimental_family_template
cityrole-0269,m02,m01,parent,experimental_family_template
cityrole-0269,m03,m02,parent,experimental_family_template
cityrole-0270,m02,m01,parent,experimental_family_template
cityrole-0270,m02,m04,partner,experimental_family_template
cityrole-0270,m03,m01,parent,experimental_family_template
cityrole-0270,m04,m02,partner,experimental_family_template
cityrole-0271,m02,m01,parent,experimental_family_template
cityrole-0271,m02,m04,partner,experimental_family_template
cityrole-0271,m03,m01,parent,experimental_family_template
cityrole-0271,m04,m02,partner,experimental_family_template
cityrole-0272,m01,m02,partner,experimental_family_template
cityrole-0272,m02,m01,partner,experimental_family_template
cityrole-0273,m02,m01,parent,experimental_family_template
cityrole-0273,m03,m02,parent,experimental_family_template
cityrole-0274,m01,m02,partner,experimental_family_template
cityrole-0274,m02,m01,partner,experimental_family_template
cityrole-0276,m02,m01,parent,experimental_family_template
cityrole-0277,m02,m01,parent,experimental_family_template
cityrole-0277,m02,m04,partner,experimental_family_template
cityrole-0277,m03,m01,parent,experimental_family_template
cityrole-0277,m04,m02,partner,experimental_family_template
cityrole-0278,m02,m01,parent,experimental_family_template
cityrole-0278,m03,m01,parent,experimental_family_template
cityrole-0281,m01,m02,partner,experimental_family_template
cityrole-0281,m02,m01,partner,experimental_family_template
cityrole-0282,m01,m02,partner,experimental_family_template
cityrole-0282,m02,m01,partner,experimental_family_template
cityrole-0283,m01,m02,partner,experimental_family_template
cityrole-0283,m02,m01,partner,experimental_family_template
cityrole-0284,m02,m01,parent,experimental_family_template
cityrole-0284,m02,m04,partner,experimental_family_template
cityrole-0284,m03,m02,parent,experimental_family_template
cityrole-0284,m04,m02,partner,experimental_family_template
cityrole-0284,m05,m02,parent,experimental_family_template
cityrole-0284,m06,m01,parent,experimental_family_template
cityrole-0285,m01,m02,partner,experimental_family_template
cityrole-0285,m02,m01,partner,experimental_family_template
cityrole-0286,m02,m01,parent,experimental_family_template
cityrole-0286,m02,m04,partner,experimental_family_template
cityrole-0286,m03,m01,parent,experimental_family_template
cityrole-0286,m04,m02,partner,experimental_family_template
cityrole-0286,m05,m01,parent,experimental_family_template
cityrole-0287,m02,m01,parent,experimental_family_template
cityrole-0287,m02,m05,partner,experimental_family_template
cityrole-0287,m03,m02,parent,experimental_family_template
cityrole-0287,m04,m02,parent,experimental_family_template
cityrole-0287,m05,m02,partner,experimental_family_template
cityrole-0288,m02,m01,parent,experimental_family_template
cityrole-0288,m03,m01,parent,experimental_family_template
cityrole-0289,m01,m02,partner,experimental_family_template
