case_id,role_id,day_index,simulated_calendar_day,city,province,plan_family_id,plan_family_zh,action_contrast_status,contrast_basis,difference_reason_zh,baseline_owned_device_kwh,candidate_owned_device_kwh,baseline_selected_ac_proxy_kwh,candidate_selected_ac_proxy_kwh,baseline_attributable_kwh,candidate_attributable_kwh,candidate_minus_baseline_attributable_kwh,baseline_all_owned_room_24h_mean_c,candidate_all_owned_room_24h_mean_c,simulated_outdoor_min_c,simulated_outdoor_max_c,weather_kind,metric_scope,temperature_scope,feedback_rows
cityrole-0001/day-01,cityrole-0001,1,07-14,南昌市,江西,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.16,34.16,26.60,33.10,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0002/day-09,cityrole-0002,9,07-22,广州市,广东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.95,36.98,27.10,35.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0002/day-10,cityrole-0002,10,07-23,广州市,广东,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.752070,2.634635,2.752070,2.634635,-0.117435,36.69,36.73,28.20,34.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0003/day-01,cityrole-0003,1,07-14,潮州市,广东,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,34.28,34.28,26.80,30.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0003/day-02,cityrole-0003,2,07-15,潮州市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,35.13,35.13,26.80,30.10,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0003/day-03,cityrole-0003,3,07-16,潮州市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,36.53,36.53,25.80,32.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0003/day-04,cityrole-0003,4,07-17,潮州市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,36.70,36.70,26.50,31.90,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0003/day-05,cityrole-0003,5,07-18,潮州市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,36.26,36.26,26.30,32.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0003/day-06,cityrole-0003,6,07-19,潮州市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,36.52,36.52,26.10,32.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0003/day-07,cityrole-0003,7,07-20,潮州市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,36.99,36.99,26.90,31.70,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0003/day-08,cityrole-0003,8,07-21,潮州市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,36.10,36.10,27.10,30.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0003/day-09,cityrole-0003,9,07-22,潮州市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,34.12,34.12,25.50,29.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0003/day-10,cityrole-0003,10,07-23,潮州市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,32.69,32.69,24.10,30.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0004/day-01,cityrole-0004,1,07-14,漳州市,福建,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.90,30.90,23.80,30.00,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0004/day-02,cityrole-0004,2,07-15,漳州市,福建,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,1.295076,1.217811,1.295076,1.217811,-0.077265,29.62,29.71,24.80,30.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0004/day-03,cityrole-0004,3,07-16,漳州市,福建,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.85,29.93,24.00,30.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0004/day-04,cityrole-0004,4,07-17,漳州市,福建,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,1.077825,1.002989,1.077825,1.002989,-0.074836,28.81,28.92,22.00,26.80,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0004/day-05,cityrole-0004,5,07-18,漳州市,福建,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.39,29.47,24.20,28.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0004/day-06,cityrole-0004,6,07-19,漳州市,福建,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.32,30.34,24.60,30.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0004/day-07,cityrole-0004,7,07-20,漳州市,福建,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,1.287332,1.211298,1.287332,1.211298,-0.076034,29.51,29.61,24.70,32.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0004/day-08,cityrole-0004,8,07-21,漳州市,福建,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.21,30.29,25.50,31.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0004/day-09,cityrole-0004,9,07-22,漳州市,福建,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,1.312530,1.237849,1.312530,1.237849,-0.074681,29.64,29.76,25.30,32.10,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0004/day-10,cityrole-0004,10,07-23,漳州市,福建,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.44,30.53,25.60,33.10,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0005/day-01,cityrole-0005,1,07-14,莆田市,福建,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,0.000000,32.55,32.55,25.80,29.00,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0005/day-02,cityrole-0005,2,07-15,莆田市,福建,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,0.500000,0.500000,2.533975,2.382179,3.033975,2.882179,-0.151796,32.12,32.15,25.60,28.90,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0005/day-03,cityrole-0005,3,07-16,莆田市,福建,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,0.500000,0.500000,2.394957,2.257182,2.894957,2.757182,-0.137775,31.77,31.83,25.60,29.10,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0005/day-04,cityrole-0005,4,07-17,莆田市,福建,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.532434,2.398290,2.532434,2.398290,-0.134144,31.67,31.74,25.80,29.90,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0005/day-05,cityrole-0005,5,07-18,莆田市,福建,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,0.000000,32.28,32.33,25.80,30.00,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0005/day-06,cityrole-0005,6,07-19,莆田市,福建,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,3.239790,3.081965,3.239790,3.081965,-0.157825,32.58,32.65,26.50,31.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0005/day-07,cityrole-0005,7,07-20,莆田市,福建,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,0.500000,0.500000,3.127907,2.981603,3.627907,3.481603,-0.146304,32.77,32.85,26.80,30.80,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0005/day-08,cityrole-0005,8,07-21,莆田市,福建,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,0.000000,33.35,33.40,26.70,30.80,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0005/day-09,cityrole-0005,9,07-22,莆田市,福建,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,0.500000,0.500000,3.084394,2.941927,3.584394,3.441927,-0.142467,33.37,33.44,26.90,33.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0005/day-10,cityrole-0005,10,07-23,莆田市,福建,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,0.500000,0.500000,2.993548,2.859020,3.493548,3.359020,-0.134528,33.41,33.49,27.70,31.80,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0006/day-01,cityrole-0006,1,07-14,赤峰市,内蒙古,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,12.200000,12.200000,0.000000,0.000000,12.200000,12.200000,0.000000,17.22,17.22,15.20,23.00,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0006/day-02,cityrole-0006,2,07-15,赤峰市,内蒙古,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,12.200000,12.200000,0.000000,0.000000,12.200000,12.200000,0.000000,16.99,16.99,15.80,19.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0006/day-03,cityrole-0006,3,07-16,赤峰市,内蒙古,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,12.200000,12.200000,0.000000,0.000000,12.200000,12.200000,0.000000,17.29,17.29,14.50,25.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0006/day-04,cityrole-0006,4,07-17,赤峰市,内蒙古,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,12.200000,10.550000,0.000000,0.000000,12.200000,10.550000,-1.650000,17.67,17.67,17.10,26.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0006/day-05,cityrole-0006,5,07-18,赤峰市,内蒙古,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,12.200000,12.200000,0.000000,0.000000,12.200000,12.200000,0.000000,17.76,17.76,17.40,24.70,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0006/day-06,cityrole-0006,6,07-19,赤峰市,内蒙古,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,12.200000,13.850000,0.000000,0.000000,12.200000,13.850000,1.650000,17.95,17.95,15.80,27.10,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0006/day-07,cityrole-0006,7,07-20,赤峰市,内蒙古,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,12.200000,12.200000,0.000000,0.000000,12.200000,12.200000,0.000000,18.20,18.20,15.60,31.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0006/day-08,cityrole-0006,8,07-21,赤峰市,内蒙古,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,12.200000,12.200000,0.000000,0.000000,12.200000,12.200000,0.000000,18.73,18.73,18.90,34.10,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0006/day-09,cityrole-0006,9,07-22,赤峰市,内蒙古,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,12.200000,10.550000,0.000000,0.000000,12.200000,10.550000,-1.650000,19.01,19.01,20.60,33.10,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0006/day-10,cityrole-0006,10,07-23,赤峰市,内蒙古,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,12.200000,13.850000,0.000000,0.000000,12.200000,13.850000,1.650000,18.76,18.76,18.90,25.90,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0007/day-01,cityrole-0007,1,07-14,广州市,广东,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.58,20.58,25.30,32.40,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0007/day-02,cityrole-0007,2,07-15,广州市,广东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.84,20.84,26.80,34.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0007/day-03,cityrole-0007,3,07-16,广州市,广东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.96,20.96,26.70,34.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0007/day-04,cityrole-0007,4,07-17,广州市,广东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.03,21.03,27.10,35.10,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0007/day-05,cityrole-0007,5,07-18,广州市,广东,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,4.554146,4.554146,4.554146,4.554146,0.000000,22.84,22.84,27.50,35.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0007/day-06,cityrole-0007,6,07-19,广州市,广东,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,3.877053,3.877053,3.877053,3.877053,0.000000,22.91,22.91,27.70,35.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0007/day-07,cityrole-0007,7,07-20,广州市,广东,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,3.809487,3.809487,3.809487,3.809487,0.000000,22.86,22.86,27.30,34.70,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0007/day-08,cityrole-0007,8,07-21,广州市,广东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.47,21.47,27.80,34.80,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0007/day-09,cityrole-0007,9,07-22,广州市,广东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.20,21.20,27.10,35.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0007/day-10,cityrole-0007,10,07-23,广州市,广东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.14,21.14,28.20,34.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
